"Aheadworks Extensions","Aheadworks Extensions"
"Product Labels","Product Labels"
"Rules","Rules"
"Labels","Labels"
"This label no longer exists.","This label no longer exists."
"Edit "%1" label","Edit "%1" label"
"New Label","New Label"
"Upper Left","Upper Left"
"Upper Right","Upper Right"
"Lower Right","Lower Right"
"Lower Left","Lower Left"
"Next To Price","Next To Price"
"Shape","Shape"
"Picture","Picture"
"Text","Text"
"Circle","Circle"
"Square","Square"
"Rectangle","Rectangle"
"You saved the label.","You saved the label."
"Something went wrong while saving the label.","Something went wrong while saving the label."
"Name","Name"
"Active","Active"
"Type","Type"
"Shape Type","Shape Type"
"Position","Position"
"Test Text","Test Text"
"Customize Container","Customize Container"
"Customize Label","Customize Label"
"Product Attributes","Product Attributes"
"Rule","Rule"
"General Information","General Information"
"Enable Rule","Enable Rule"
"Rule Name","Rule Name"
"Label","Label"
"Priority","Priority"
"Website","Website"
"Customer Groups","Customer Groups"
"From","From"
"To","To"
"Product Conditions","Product Conditions"
"Frontend Label Text","Frontend Label Text"
"Add","Add"
"Store View","Store View"
"Large Label Text","Large Label Text"
"Medium Label Text","Medium Label Text"
"Small Label Text","Small Label Text"
"Back","Back"
"Rule name is required.","Rule name is required."
"Label is required.","Label is required."
"Please specify a website.","Please specify a website."
"Please specify Customer Groups.","Please specify Customer Groups."
"Rule priority is required.","Rule priority is required."
"Conditions Combination","Conditions Combination"
"Conditions","Conditions"
"End Date must follow Start Date.","End Date must follow Start Date."
"Delete","Delete"
"Are you sure you want to do this?","Are you sure you want to do this?"
"This rule no longer exists.","This rule no longer exists."
"New Rule","New Rule"
"Edit ""%1"" rule","Edit ""%1"" rule"
"All Groups","All Groups"
"Duplicated store view in frontend label text found.","Duplicated store view in frontend label text found."
"All Store Views","All Store Views"
"Reset","Reset"
"Save","Save"
"Rule was successfully saved","Rule was successfully saved"
"Something went wrong while saving the rule","Something went wrong while saving the rule"
"Save and Continue Edit","Save and Continue Edit"
"Product Special","Product Special"
"Stock Range","Stock Range"
"equal to","equal to"
"more than","more than"
"equal or greater than","equal or greater than"
"less than","less than"
"equal or less than","equal or less than"
"Stock Range is %1 %2","Stock Range is %1 %2"
"You deleted the rule.","You deleted the rule."
"Something went wrong while deleting the rule.","Something went wrong while deleting the rule."
"You deleted the label.","You deleted the label."
"Something went wrong while deleting the label.","Something went wrong while deleting the label."
"Active","Active"
"Inactive","Inactive"
"Rule Name","Rule Name"
"Status","Status"
"ID","ID"
"Rectangle","Rectangle"
"Rectangle with Bevel Up","Rectangle with Bevel Up"
"Rectangle with Bevel Down","Rectangle with Bevel Down"
"Square","Square"
"Circle","Circle"
"Flag","Flag"
"Point Burst","Point Burst"
"Replace Label","Replace Label"
"Delete labels","Delete labels"
"Are you sure you want to delete selected labels?","Are you sure you want to delete selected labels?"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"No records have been deleted.","No records have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"No records have been updated.","No records have been updated."
"Vertical","Vertical"
"Horizontal","Horizontal"
"Distance from Label with Higher Priority, px","Distance from Label with Higher Priority, px"
"Margin in pixels between two labels that overlap each other in some way","Margin in pixels between two labels that overlap each other in some way"
"Label Alignment","Label Alignment"
"How several labels that overlap each other should line up","How several labels that overlap each other should line up"
"Max. Number of Labels Over Product Image","Max. Number of Labels Over Product Image"
"Max. Number of Labels Next to Price","Max. Number of Labels Next to Price"
"Rules have been applied.","Rules have been applied."
"Some rules are updated but not applied. Please click ""Apply Rules"" to update catalog.","Some rules are updated but not applied. Please click ""Apply Rules"" to update catalog."
"Change Status","Change Status"
"Enable","Enable"
"Disable","Disable"
"Delete rules","Delete rules"
"Are you sure you want to delete selected rules?","Are you sure you want to delete selected rules?"
"Please correct the data sent.","Please correct the data sent."
"CSS parameters applied to the label container. Click the question mark to see more details in user guide.","CSS parameters applied to the label container. Click the question mark to see more details in user guide."
"Other CSS parameters. Click the question mark to see more details in user guide.","Other CSS parameters. Click the question mark to see more details in user guide."
"Hover over the question mark to find variable options. Click it to get more details in user guide.","Hover over the question mark to find variable options. Click it to get more details in user guide."
"Decrease the number to increase the Priority level","Decrease the number to increase the Priority level"
"attribute value","attribute value"
"discount percentage","discount percentage"
"discount amount","discount amount"
"regular price","regular price"
"special price","special price"
"stock amount","stock amount"
"new line","new line"
"product SKU","product SKU"
"X days left for special price","X days left for special price"
"X hours left for special price","X hours left for special price"
"Advanced Settings / CSS","Advanced Settings / CSS"
"This field is only used to test the label display, text input doesn't get saved. Set up actual label texts in rules.","This field is only used to test the label display, text input doesn't get saved. Set up actual label texts in rules."
"Label View","Label View"
"Add Label","Add Label"
"Color","Color"
"Width","Width"
"Height","Height"
"Size","Size"
"Variables you can use in test text:","Variables you can use in test text:"
"Label Name","Label Name"
"Add New Rule","Add New Rule"
"Apply Rules","Apply Rules"
"Please specify products where the rule should be applied","Please specify products where the rule should be applied"
"Save and Apply","Save and Apply"
"Save & Duplicate","Save & Duplicate"
"You duplicated the label.","You duplicated the label."
"Minicart","Minicart"
"Cart","Cart"
"Checkout","Checkout"
"Wishlist Sidebar","Wishlist Sidebar"
"Label placement or image ID is required for rendering","Label placement or image ID is required for rendering"
